分类,词语A,词语B
活动,冥想,发呆
活动,看电影,追剧
活动,购物,逛街
活动,旅行,出差
自然天气,太阳,月亮
自然天气,星星,流星
自然天气,彩虹,极光
自然天气,雪花,冰雹
自然天气,下雨,下雪
自然天气,毛毛雨,阵雨
自然天气,雷雨,暴雨
自然天气,台风,龙卷风
自然天气,雾,霾
自然天气,露水,霜
自然天气,山,丘陵
自然天气,河流,小溪
自然天气,湖泊,水库
自然天气,海洋,海湾
自然天气,沙漠,戈壁
自然天气,森林,草原
自然天气,瀑布,喷泉
自然天气,火山,温泉
自然天气,岛屿,半岛
自然天气,日出,日落
抽象概念,快乐,幸福
抽象概念,紧张,焦虑
抽象概念,害羞,尴尬
抽象概念,勇敢,鲁莽
抽象概念,自信,自负
抽象概念,耐心,毅力
抽象概念,友谊,爱情
抽象概念,信任,依赖
抽象概念,梦想,目标
抽象概念,计划,安排
抽象概念,规则,法律
抽象概念,公平,平等
抽象概念,秘密,隐私
抽象概念,习惯,爱好
抽象概念,成功,胜利
抽象概念,失败,失误
抽象概念,道歉,感谢
抽象概念,承诺,保证
抽象概念,灵感,创意
抽象概念,回忆,想象
菜肴,火锅,麻辣烫
菜肴,串串香,关东煮
菜肴,烤肉,烧烤
菜肴,炸鸡,烤鸡
菜肴,红烧肉,糖醋排骨
菜肴,宫保鸡丁,鱼香肉丝
菜肴,麻婆豆腐,家常豆腐
菜肴,清蒸鱼,红烧鱼
菜肴,水煮鱼,酸菜鱼
菜肴,番茄炒蛋,番茄蛋汤
菜肴,蛋炒饭,扬州炒饭
菜肴,小笼包,灌汤包
菜肴,煎饺,蒸饺
菜肴,锅贴,生煎包
菜肴,麻辣香锅,干锅
菜肴,烤鸭,盐水鸭
菜肴,烤鱼,烤虾
菜肴,螺蛳粉,酸辣粉
菜肴,凉皮,凉面
菜肴,鸡排,猪排
菜肴,牛排,羊排
菜肴,炒年糕,烤年糕
菜肴,蛋包饭,咖喱饭
菜肴,海南鸡饭,黄焖鸡米饭
菜肴,炸酱面,担担面
菜肴,馄饨汤,饺子汤
菜肴,烤红薯,糖炒栗子
菜肴,皮蛋瘦肉粥,鸡肉粥
菜肴,紫菜蛋花汤,海带汤
菜肴,牛肉丸,鱼丸
服饰,衬衫,T恤
服饰,卫衣,毛衣
服饰,羽绒服,棉服
服饰,风衣,大衣
服饰,西装,夹克
服饰,牛仔裤,工装裤
服饰,短裤,七分裤
服饰,半身裙,连衣裙
服饰,百褶裙,包臀裙
服饰,睡衣,家居服
服饰,运动鞋,帆布鞋
服饰,皮鞋,乐福鞋
服饰,拖鞋,凉鞋
服饰,雪地靴,雨靴
服饰,高跟鞋,坡跟鞋
服饰,棒球帽,渔夫帽
服饰,围巾,披肩
服饰,手套,袖套
服饰,领带,领结
服饰,皮带,腰封
服饰,耳环,耳钉
服饰,项链,手链
服饰,戒指,手镯
服饰,眼镜,墨镜
服饰,口罩,面罩
服饰,袜子,丝袜
服饰,背心,吊带
服饰,浴袍,睡袍
服饰,校服,工装
服饰,汉服,旗袍
家具,沙发,躺椅
家具,餐桌,茶几
家具,书桌,电脑桌
家具,衣柜,储物柜
家具,书架,置物架
家具,床头柜,边几
家具,双人床,上下铺
家具,折叠床,沙发床
家具,摇椅,转椅
家具,长凳,板凳
家具,鞋柜,玄关柜
家具,电视柜,餐边柜
家具,屏风,隔断
家具,地毯,地垫
家具,吊灯,吸顶灯
家具,壁灯,床头灯
家具,浴缸,淋浴房
家具,洗手台,梳妆台
家具,马桶,蹲便器
家具,窗台,阳台
家具,壁橱,衣帽间
家具,储物箱,收纳柜
家具,藤椅,竹椅
家具,折叠桌,升降桌
家具,懒人沙发,豆袋椅
文具,铅笔,自动铅笔
文具,钢笔,圆珠笔
文具,水彩笔,马克笔
文具,荧光笔,记号笔
文具,橡皮,修正带
文具,尺子,三角尺
文具,量角器,圆规
文具,笔记本,活页本
文具,作业本,草稿本
文具,便签纸,便利贴
文具,文件夹,资料册
文具,订书机,打孔器
文具,回形针,长尾夹
文具,印章,印泥
文具,墨水,墨囊
文具,毛笔,排笔
文具,颜料,彩色铅笔
文具,画板,速写本
文具,书签,索引贴
文具,卷笔刀,削笔器
文具,书包,笔袋
文具,计算纸,方格纸
文具,白板,黑板
文具,粉笔,白板笔
文具,信封,明信片
乐器,钢琴,电子琴
乐器,小提琴,中提琴
乐器,大提琴,低音提琴
乐器,吉他,尤克里里
乐器,木吉他,电吉他
乐器,贝斯,电吉他
乐器,架子鼓,手鼓
乐器,小鼓,定音鼓
乐器,长笛,短笛
乐器,单簧管,双簧管
乐器,萨克斯,小号
乐器,长号,圆号
乐器,口琴,口风琴
乐器,笛子,箫
乐器,古筝,古琴
乐器,琵琶,阮
乐器,二胡,板胡
乐器,扬琴,木琴
乐器,唢呐,笙
乐器,手风琴,风琴
乐器,竖琴,里拉琴
乐器,三角铁,铃鼓
乐器,非洲鼓,康佳鼓
乐器,葫芦丝,陶笛
乐器,埙,陶笛
体育,篮球,足球
体育,羽毛球,网球
体育,乒乓球,壁球
体育,排球,沙滩排球
体育,棒球,垒球
体育,高尔夫球,门球
体育,保龄球,台球
体育,跳绳,呼啦圈
体育,哑铃,壶铃
体育,跑步机,椭圆机
体育,瑜伽垫,体操垫
体育,拳击,跆拳道
体育,击剑,射箭
体育,划船,赛艇
体育,冲浪,帆板
体育,花样滑冰,速滑
体育,滑板,轮滑
体育,跳高,跳远
体育,百米赛跑,马拉松
体育,单杠,双杠
体育,仰卧起坐,俯卧撑
体育,蛙泳,自由泳
体育,跳水,花样游泳
体育,自行车赛,赛车
体育,攀岩,蹦极
校园,小学,幼儿园
校园,初中,高中
校园,大学,职业学校
校园,班主任,辅导员
校园,校长,教导主任
校园,同桌,室友
校园,课桌,讲台
校园,教室,自习室
校园,操场,体育馆
校园,宿舍,公寓
校园,考试,测验
校园,期中考,期末考
校园,作业,练习题
校园,课堂,讲座
校园,学分,成绩
校园,奖学金,助学金
校园,学生会,社团
校园,毕业典礼,开学典礼
校园,校服,班服
校园,课本,参考书
校园,实验室,机房
校园,课程表,值日表
校园,晨读,晚自习
校园,校车,通勤车
校园,答辩,面试
文娱,电影,电视剧
文娱,纪录片,综艺节目
文娱,动画片,漫画
文娱,小说,剧本
文娱,诗歌,歌词
文娱,音乐会,演唱会
文娱,话剧,音乐剧
文娱,舞台剧,脱口秀
文娱,魔术,杂技
文娱,相声,小品
文娱,直播,录播
文娱,短视频,微电影
文娱,预告片,花絮
文娱,主角,配角
文娱,主持人,解说员
文娱,粉丝,观众
文娱,专辑,单曲
文娱,民谣,流行歌曲
文娱,摇滚乐,电子音乐
文娱,油画,水彩画
文娱,雕塑,陶艺
文娱,书法,篆刻
文娱,摄影展,画展
文娱,游戏直播,赛事转播
文娱,桌游,电子游戏
节日习俗,春节,元宵节
节日习俗,清明节,寒食节
节日习俗,端午节,中秋节
节日习俗,七夕节,情人节
节日习俗,圣诞节,平安夜
节日习俗,国庆节,劳动节
节日习俗,元旦,跨年夜
节日习俗,生日,纪念日
节日习俗,婚礼,订婚宴
节日习俗,请柬,邀请函
节日习俗,红包,礼物
节日习俗,春联,福字
节日习俗,灯笼,花灯
节日习俗,烟花,鞭炮
节日习俗,舞龙,舞狮
节日习俗,拜年,串门
节日习俗,祭祖,扫墓
节日习俗,赏月,观星
节日习俗,庙会,集市
节日习俗,年夜饭,团圆饭
网络生活,朋友圈,微博
网络生活,群聊,私聊
网络生活,语音消息,语音通话
网络生活,视频通话,直播连线
网络生活,点赞,收藏
网络生活,评论,弹幕
网络生活,转发,分享
网络生活,网购,团购
网络生活,购物车,收藏夹
网络生活,快递,闪送
网络生活,外卖,跑腿
网络生活,导航,地图
网络生活,搜索引擎,浏览器
网络生活,用户名,昵称
网络生活,密码,验证码
网络生活,二维码,条形码
网络生活,表情包,贴纸
网络生活,热搜,热榜
网络生活,网盘,本地硬盘
网络生活,云备份,本地备份
网络生活,线上会议,视频会议
网络生活,电子钱包,银行卡
网络生活,电子发票,纸质发票
网络生活,订阅,关注
网络生活,账号注销,退出登录
健康身体,感冒,流感
健康身体,发烧,中暑
健康身体,咳嗽,打喷嚏
健康身体,头痛,牙痛
健康身体,过敏,湿疹
健康身体,近视,散光
健康身体,口腔溃疡,咽喉炎
健康身体,扭伤,拉伤
健康身体,擦伤,划伤
健康身体,打针,输液
健康身体,体检,复查
健康身体,挂号,预约
健康身体,药片,胶囊
健康身体,创可贴,纱布
健康身体,体温计,血压计
健康身体,心跳,脉搏
健康身体,失眠,熬夜
健康身体,午睡,打盹
健康身体,锻炼,康复训练
健康身体,防晒,补水
健康身体,左手,右手
健康身体,手掌,手背
健康身体,眉毛,睫毛
健康身体,牙齿,舌头
健康身体,肩膀,手肘
建筑城市,高楼,写字楼
建筑城市,别墅,平房
建筑城市,城堡,宫殿
建筑城市,寺庙,道观
建筑城市,教堂,清真寺
建筑城市,石桥,吊桥
建筑城市,隧道,地下通道
建筑城市,立交桥,天桥
建筑城市,城墙,围墙
建筑城市,塔楼,钟楼
建筑城市,喷泉广场,中心广场
建筑城市,小巷,胡同
建筑城市,十字路口,环岛
建筑城市,停车场,车库
建筑城市,人行道,斑马线
建筑城市,路灯,红绿灯
建筑城市,电梯,扶梯
建筑城市,楼梯,台阶
建筑城市,屋顶,阁楼
建筑城市,地下室,地窖
建筑城市,阳台,露台
建筑城市,庭院,花园
建筑城市,公交站,地铁站
建筑城市,码头,港口
建筑城市,广场,公园
